# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.4453	1.6006	0.5069
1.4535	1.5989	0.5069
1.4805	1.6	0.5069
1.4944	1.6021	0.5069
1.471	1.6034	0.5069
1.4756	1.6015	0.5069
1.5252	1.6006	0.5069
1.5252	1.6121	0.5069
1.4966	1.6059	0.5069
1.476	1.5955	0.5069
1.5376	1.613	0.5069
1.5787	1.6126	0.5069
1.5245	1.6047	0.5069
1.6173	1.6227	0.5069
1.511	1.6024	0.5069
1.4541	1.5995	0.5057
1.4405	1.5973	0.5057
1.56	1.6149	0.5057
1.4754	1.599	0.5057
1.5924	1.6102	0.5057
1.5326	1.6025	0.5057
1.5883	1.6107	0.5057
1.4625	1.6075	0.5057
1.5285	1.6081	0.5057
1.5077	1.6014	0.5057
1.4799	1.6002	0.5057
1.5599	1.6099	0.5057
1.4741	1.6048	0.5057
1.5145	1.6076	0.5057
1.5732	1.6167	0.5057
1.5623	1.6011	0.5057
1.4997	1.6034	0.5057
1.6459	1.6224	0.5057
1.5062	1.6084	0.5057
1.6661	1.6235	0.5057
1.5055	1.6057	0.5057
1.5322	1.6063	0.5057
1.4434	1.5963	0.5048
1.5394	1.6013	0.5048
1.5944	1.6232	0.5048
1.5142	1.6006	0.5048
1.6355	1.6176	0.5048
1.4366	1.6012	0.5048
1.5532	1.6164	0.5048
1.5653	1.6095	0.5048
1.5914	1.6083	0.5048
1.8233	1.6407	0.5048
1.4575	1.6052	0.5048
1.4895	1.6041	0.5048
1.5514	1.605	0.5048
1.6225	1.6139	0.5048
1.4586	1.6011	0.5048
1.5113	1.6078	0.5048
1.5282	1.6013	0.5048
1.567	1.6091	0.5048
1.5738	1.6045	0.5048
1.5592	1.604	0.5048
1.4968	1.6018	0.5048
1.4543	1.5961	0.5048
1.6663	1.621	0.5048
1.4629	1.6045	0.3893
1.5443	1.6128	0.3893
1.5524	1.6076	0.3893
1.6133	1.6205	0.3893
1.5882	1.6105	0.3893
1.4355	1.5998	0.3893
1.4849	1.6075	0.3893
1.5161	1.6089	0.3893
1.4419	1.5996	0.3893
1.59	1.6226	0.3893
1.617	1.615	0.3893
1.5668	1.6116	0.3893
1.5934	1.6124	0.3893
1.5301	1.6023	0.3893
1.5214	1.6132	0.3893
1.4941	1.6054	0.3893
1.5389	1.6026	0.3893
1.5552	1.6083	0.3893
1.4741	1.6083	0.3893
1.471	1.602	0.3893
1.4891	1.6039	0.3893
1.5573	1.6004	0.3893
1.5001	1.5983	0.3893
1.5715	1.6124	0.3893
1.4876	1.6062	0.3893
1.4877	1.6003	0.3893
1.5332	1.608	0.3893
1.6009	1.624	0.3893
1.5209	1.6059	0.3893
1.6369	1.6203	0.3893
1.4893	1.6078	0.3893
1.5075	1.6065	0.3893
1.5635	1.6135	0.3893
1.62	1.6223	0.3893
1.5649	1.6127	0.3884
1.5872	1.6127	0.3884
1.4849	1.6029	0.3884
1.4946	1.6067	0.3884
1.624	1.62	0.3884
1.4259	1.6018	0.3884
1.4537	1.5945	0.3884
1.4796	1.6047	0.3884
1.5253	1.607	0.3884
1.4838	1.5986	0.3884
1.4624	1.604	0.3884
1.466	1.6067	0.3884
1.512	1.6068	0.3884
1.5255	1.6072	0.3884
1.5417	1.6093	0.3884
1.5492	1.6078	0.3884
1.5701	1.6044	0.3884
1.4725	1.5978	0.3884
1.5926	1.6024	0.3884
1.4402	1.6031	0.3884
1.523	1.6135	0.3884
1.5571	1.6179	0.3884
1.5022	1.6044	0.3884
1.4615	1.5999	0.3884
