# REJUVENATION INDEX IN LINEAGE
# original file "wt_decCap_noRe_3gen.txt" 
# mother	daughter	rejMean	rejStd
5.0	3.0	0.08366444444444446	0.4543243621464746
5.0	4.0	0.11242910447761194	0.5157524561879019
5.0	5.0	0.07696567164179104	0.4749000800492126
5.0	6.0	-0.00845338345864661	0.5713617547404902
5.0	7.0	-0.17707480916030535	0.38411001976467257
5.0	8.0	-0.09379069767441862	0.44280116718770146
5.0	9.0	-0.2316579365079365	0.3904684924248151
5.0	10.0	-0.3254391666666667	0.3909147847770444
5.0	11.0	-0.3966450450450451	0.3183200498465595
5.0	12.0	-0.42112291666666685	0.4337273185282653
5.0	13.0	-0.5500192771084338	0.3352689559064379
5.0	14.0	-0.6189352112676058	0.3925856834950962
5.0	15.0	-0.7526704918032787	0.3067201995001646
5.0	16.0	-0.8034191489361702	0.2440999996778742
5.0	17.0	-0.9230000000000002	0.3309574178537662
5.0	18.0	-1.044925806451613	0.24903498812782907
5.0	19.0	-1.0946269230769232	0.25039200715309157
5.0	20.0	-1.1598526315789472	0.25225586298311625
5.0	21.0	-1.3422882352941172	0.19162248329186524
5.0	22.0	-1.290241666666667	0.2591547781059641
5.0	23.0	-1.4414166666666668	0.20353127449355224
5.0	24.0	-1.4551777777777777	0.1733363405187857
5.0	25.0	-1.5931571428571427	0.26306556126526615
5.0	26.0	-1.73492	0.12416195874743602
5.0	27.0	-1.818575	0.05294779661767486
5.0	28.0	-1.9578499999999999	0.1460324279055854
5.0	29.0	-1.5252999999999999	0.3082327529643792
5.0	30.0	-1.9747000000000001	0.09519133363915026
5.0	31.0	-1.8452666666666666	0.4894343299497219
5.0	32.0	-2.1660500000000003	0.03075914498161504
5.0	33.0	-2.24545	0.08152941187080891
5.0	34.0	NaN	NaN
6.0	1.0	0.2585815384615385	0.4900166332858912
6.0	2.0	0.2948053846153846	0.5043590352937172
6.0	3.0	0.16025692307692307	0.44697203820395254
6.0	4.0	0.09698527131782946	0.4514383398685209
6.0	5.0	0.09813124999999999	0.4408822989590681
6.0	6.0	0.013974015748031499	0.4577742313183898
6.0	7.0	-0.036273387096774204	0.41932747862100056
6.0	8.0	-0.13723252032520322	0.3807337733205114
6.0	9.0	-0.18537043478260873	0.38519719055239543
6.0	10.0	-0.3234076190476191	0.3358938118304761
6.0	11.0	-0.3933929411764706	0.3030211645084482
6.0	12.0	-0.3903435897435899	0.4220521115081701
6.0	13.0	-0.5230114285714286	0.33611209635591843
6.0	14.0	-0.6749526315789475	0.2880146692105302
6.0	15.0	-0.8198568181818182	0.2801876160450162
6.0	16.0	-0.7568875000000002	0.4178554532834408
6.0	17.0	-0.9676192307692305	0.21511730013038144
6.0	18.0	-1.1234999999999997	0.24184303793990017
6.0	19.0	-1.156146153846154	0.23980486377950652
6.0	20.0	-1.1721909090909088	0.3175318958925086
6.0	21.0	-1.1874090909090909	0.2727004967158859
6.0	22.0	-1.2839333333333334	0.28021939172726784
6.0	23.0	-1.230611111111111	0.2778623510141507
6.0	24.0	-1.4939250000000002	0.15257889528278243
6.0	25.0	-1.6534333333333333	0.08238540323787137
6.0	26.0	-1.8607000000000002	0.048475560852866924
6.0	27.0	-1.737	0.21227345571220158
6.0	28.0	NaN	NaN
6.0	29.0	NaN	NaN
6.0	30.0	NaN	NaN
6.0	31.0	NaN	NaN
6.0	32.0	NaN	NaN
6.0	33.0	NaN	NaN
6.0	34.0	NaN	NaN
7.0	1.0	0.318468253968254	0.6388512397296627
7.0	2.0	0.18440238095238093	0.5355114645964973
7.0	3.0	0.18167539682539682	0.5835545902397147
7.0	4.0	0.14713387096774194	0.6095173274829577
7.0	5.0	0.02609349593495935	0.5001973241352901
7.0	6.0	-0.036100826446280994	0.45459535660773226
7.0	7.0	-0.05729666666666667	0.4228379513454761
7.0	8.0	-0.17517627118644064	0.42110821734345466
7.0	9.0	-0.2264728971962617	0.4111913045961568
7.0	10.0	-0.29259599999999997	0.4439416546249193
7.0	11.0	-0.4457109890109891	0.36189007215222735
7.0	12.0	-0.5459413333333334	0.3569534098197998
7.0	13.0	-0.6006196721311476	0.42594498581376755
7.0	14.0	-0.6524520833333335	0.396300843165189
7.0	15.0	-0.8328648648648649	0.3045517062614931
7.0	16.0	-0.9669481481481483	0.3796356445232621
7.0	17.0	-0.9755750000000001	0.33147528631073325
7.0	18.0	-1.1868315789473685	0.45070001855463265
7.0	19.0	-1.1844866666666667	0.37494319353863775
7.0	20.0	-1.3743285714285711	0.5118963227790617
7.0	21.0	-1.3967333333333336	0.4418079803660766
7.0	22.0	-1.5537222222222222	0.49975685282389526
7.0	23.0	-1.5498500000000002	0.4958241796674071
7.0	24.0	-1.5935000000000001	0.4597134832334882
7.0	25.0	-1.7408666666666663	0.2899129087616946
7.0	26.0	-2.1363250000000003	0.4784395146376046
7.0	27.0	-2.3859500000000002	0.38275690065627826
7.0	28.0	-2.46425	0.27202397872246487
7.0	29.0	-2.3861	0.16150318882300757
7.0	30.0	-2.22945	0.383039743368753
