# =============================================
# WT SURFACES
# =============================================
# Q 2.5526 
# s 0.637 
# g 1.05 
# maximal time 1000.0 
# expected RLS 24 pm 0 
# =============================================
# k1	k2	R	re	RLS	lifetime	tau	eta
0.350000	0.020000	0.318310	0.113200	24.000000	38.661482	0.683421	0.833333
0.350000	0.025000	1000.000000	0.141950	24.000000	40.070080	0.644296	0.791667
0.350000	0.025000	0.318310	0.124450	24.000000	37.906311	0.744086	0.875000
0.350000	0.030000	1000.000000	0.158200	24.000000	40.306439	0.649290	0.791667
0.350000	0.030000	0.318310	0.136950	24.000000	38.225626	0.744079	0.875000
0.350000	0.035000	1000.000000	0.178200	24.000000	43.081471	0.584076	0.750000
0.350000	0.035000	0.318310	0.150700	24.000000	39.538699	0.684446	0.833333
0.350000	0.040000	1000.000000	0.195075	24.000000	42.410930	0.600877	0.750000
0.350000	0.040000	0.318310	0.163200	24.000000	39.399422	0.690639	0.833333
0.350000	0.045000	1000.000000	0.215075	24.000000	43.701746	0.555809	0.708333
0.350000	0.045000	0.318310	0.175075	24.000000	38.854037	0.700483	0.833333
0.350000	0.050000	1000.000000	0.238200	24.000000	46.707102	0.498311	0.666667
0.350000	0.050000	0.318310	0.188200	24.000000	39.086043	0.701561	0.833333
0.350000	0.055000	1000.000000	0.260700	24.000000	48.095511	0.458039	0.625000
0.350000	0.055000	0.318310	0.203200	24.000000	40.396426	0.688372	0.833333
0.350000	0.060000	1000.000000	0.285700	24.000000	50.339544	0.413737	0.583333
0.350000	0.060000	0.318310	0.215544	24.000000	39.798465	0.701633	0.833333
0.350000	0.065000	0.318310	0.230700	24.000000	40.839863	0.691933	0.833333
0.350000	0.070000	0.318310	0.245700	24.000000	41.743695	0.643706	0.791667
0.350000	0.075000	0.318310	0.260700	24.000000	42.501609	0.639756	0.791667
0.350000	0.080000	0.318310	0.274450	24.000000	41.980069	0.650149	0.791667
0.350000	0.085000	0.318310	0.290700	24.000000	43.178276	0.642205	0.791667
0.355000	0.005000	1000.000000	0.065700	24.000000	37.233053	0.741305	0.875000
0.355000	0.005000	0.318310	0.063200	24.000000	37.202414	0.738728	0.875000
0.355000	0.010000	1000.000000	0.080700	24.000000	38.152499	0.689806	0.833333
0.355000	0.010000	0.318310	0.074450	24.000000	37.085791	0.743691	0.875000
0.355000	0.015000	1000.000000	0.094450	24.000000	37.707971	0.747637	0.875000
0.355000	0.015000	0.318310	0.085700	24.000000	36.954880	0.748159	0.875000
0.355000	0.020000	1000.000000	0.110700	24.000000	38.771699	0.696328	0.833333
0.355000	0.020000	0.318310	0.098200	24.000000	37.592466	0.744469	0.875000
0.355000	0.025000	1000.000000	0.128200	24.000000	40.681821	0.637032	0.791667
0.355000	0.025000	0.318310	0.110700	24.000000	38.150533	0.741497	0.875000
0.355000	0.030000	1000.000000	0.144450	24.000000	40.793662	0.644384	0.791667
0.355000	0.030000	0.318310	0.123200	24.000000	38.567886	0.693066	0.833333
0.355000	0.035000	1000.000000	0.163200	24.000000	42.929262	0.584905	0.750000
0.355000	0.035000	0.318310	0.134450	24.000000	37.937700	0.750314	0.875000
0.355000	0.040000	1000.000000	0.180700	24.000000	42.775729	0.596580	0.750000
0.355000	0.040000	0.318310	0.148200	24.000000	38.897214	0.696677	0.833333
0.355000	0.045000	1000.000000	0.200700	24.000000	44.331789	0.549589	0.708333
0.355000	0.045000	0.318310	0.160700	24.000000	38.888935	0.700378	0.833333
0.355000	0.050000	1000.000000	0.220700	24.000000	45.069670	0.511838	0.666667
0.355000	0.050000	0.318310	0.174450	24.000000	39.609700	0.696152	0.833333
0.355000	0.055000	1000.000000	0.243200	24.000000	46.865906	0.467032	0.625000
0.355000	0.055000	0.318310	0.188200	24.000000	40.214475	0.693242	0.833333
0.355000	0.060000	1000.000000	0.268200	24.000000	49.564520	0.418688	0.583333
0.355000	0.060000	0.318310	0.200700	24.000000	39.761533	0.702064	0.833333
0.355000	0.065000	1000.000000	0.293200	24.000000	50.758030	0.383870	0.541667
0.355000	0.065000	0.318310	0.214450	24.000000	40.042743	0.702933	0.833333
0.355000	0.070000	0.318310	0.230700	24.000000	42.060448	0.639250	0.791667
0.355000	0.075000	0.318310	0.243200	24.000000	40.900005	0.699105	0.833333
0.355000	0.080000	0.318310	0.258200	24.000000	41.465535	0.654982	0.791667
0.355000	0.085000	0.318310	0.273200	24.000000	41.875289	0.655079	0.791667
0.355000	0.090000	0.318310	0.290700	24.000000	44.132909	0.591600	0.750000
0.360000	0.005000	1000.000000	0.051950	24.000000	37.139353	0.742767	0.875000
0.360000	0.005000	0.318310	0.048200	24.000000	36.107155	0.800108	0.916667
0.360000	0.010000	1000.000000	0.065700	24.000000	37.122499	0.748546	0.875000
0.360000	0.010000	0.318310	0.060700	24.000000	37.042907	0.744558	0.875000
