# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.7816253	3.3554	0.6794
0.84935892	3.3243	0.6794
0.89512168	2.9295	0.6794
0.57644814	4.6601	0.6794
0.7659491199999999	3.443	0.6794
0.5732508000000001	4.8667	0.6793
0.74869664	3.5457	0.6793
0.6511317	4.1719	0.6793
0.80440668	3.3466	0.6793
0.8551430799999999	3.0918	0.6793
0.70942856	3.7427	0.6793
0.95493958	2.8973	0.6786
0.84722736	3.2436	0.6786
0.8457063200000001	3.0862	0.6786
0.80983558	3.244	0.6786
0.75011768	3.7856	0.6783
0.71922058	3.7006	0.6783
0.5970979599999999	4.4293	0.6783
0.91059786	2.8614	0.6783
0.7011575800000001	3.7067	0.6783
0.72464948	3.6363	0.6783
0.9672184199999999	2.7553	0.6783
0.68086302	3.9606	0.6783
0.76675964	3.4158	0.6783
0.61749252	4.3887	0.6783
0.89502168	3.0194	0.6776
0.68228406	3.9375	0.6776
0.72322844	3.6706	0.6776
0.79096206	3.3513	0.6776
0.75661236	3.7509	0.6776
0.80628298	3.2249	0.6776
0.93490028	2.7769	0.6775
0.7308889000000001	3.696	0.6775
0.9406844400000001	2.7732	0.6775
0.8530115199999999	3.3268	0.6775
0.79897778	3.4326	0.6775
0.8682324399999999	3.1474	0.6775
0.8117118799999999	3.4626	0.6775
0.81668552	3.2189	0.6774
0.7527045	3.4835	0.6774
0.58989276	4.5302	0.6774
0.62870558	4.3786	0.6774
0.7127259	3.8245	0.6774
0.81500922	3.1903	0.6774
0.83921164	3.2581	0.6774
0.80958032	3.2902	0.6767
0.89608746	3.1304	0.6767
0.5982637399999999	4.396	0.6767
0.88923752	2.9653	0.6767
0.7725438	3.4157	0.6767
0.7818805600000001	3.4337	0.6767
0.73560728	3.6427	0.6346
0.70222336	3.7295	0.6346
0.77360958	3.3531	0.6346
0.79720148	3.382	0.6346
0.60146108	4.4117	0.6346
0.79496992	3.2862	0.6346
0.9359660599999999	3.0017	0.6346
0.5939006200000001	4.7044	0.6345
0.65620534	4.0455	0.6345
0.89431116	2.9219	0.6345
0.84027742	3.1842	0.6345
0.82033812	3.2843	0.6345
0.72536	3.7152	0.6345
0.6910103000000001	3.7519	0.6345
0.67036048	3.9157	0.6345
0.8997400600000001	2.944	0.6345
0.8395669	3.1185	0.6345
0.72571526	3.7604	0.6345
0.5906032800000001	4.478	0.6345
0.7319546800000001	3.7701	0.6345
