# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen.txt" 
# genT	cycleGrowth	rejuvenation
1.6808	1.5958	0.5438
1.6696	1.5977	0.5438
1.6929	1.5954	0.5438
1.6879	1.5988	0.5438
1.6841	1.6048	0.5438
1.6775	1.5947	0.5438
1.6654	1.5967	0.5438
1.6888	1.598	0.5438
1.6963	1.5993	0.5438
1.6686	1.5968	0.5438
1.6757	1.5997	0.5438
1.669	1.5947	0.5438
1.6662	1.5962	0.5438
1.7048	1.5946	0.5438
1.7194	1.6003	0.5438
1.7105	1.593	0.5438
1.7244	1.5938	0.5438
1.684	1.6002	0.5438
1.7015	1.5988	0.5438
1.6914	1.5968	0.5438
1.6771	1.6025	0.5438
1.7017	1.6036	0.5438
1.6608	1.5982	0.5438
1.7268	1.6022	0.5438
1.6564	1.5983	0.5438
1.6713	1.5983	0.5438
1.6845	1.6021	0.5438
1.6751	1.5985	0.5438
1.6563	1.6008	0.5438
1.693	1.5946	0.5438
1.6671	1.599	0.5438
1.7166	1.597	0.5438
1.6925	1.5939	0.5435
1.6748	1.6009	0.5435
1.6672	1.5953	0.5435
1.7044	1.5972	0.5435
1.6872	1.5977	0.5435
1.6697	1.5983	0.5435
1.6649	1.6001	0.5435
1.6863	1.5971	0.5435
1.6821	1.594	0.5435
1.7037	1.601	0.5435
1.6933	1.6003	0.5435
1.6909	1.6046	0.5435
1.705	1.6025	0.5435
1.6946	1.5979	0.5435
1.7048	1.6032	0.5435
1.6715	1.5982	0.5435
1.6657	1.5974	0.5435
1.6713	1.5959	0.5435
1.6804	1.5971	0.5435
1.6511	1.5999	0.5435
1.6684	1.5991	0.5435
1.6728	1.5975	0.5435
1.7057	1.5936	0.5435
1.7207	1.5995	0.5435
1.6459	1.599	0.5435
1.6867	1.5974	0.5435
1.6863	1.5944	0.5435
1.7008	1.5997	0.5434
1.694	1.5989	0.5434
1.7253	1.5992	0.5434
1.7074	1.5991	0.5434
1.7206	1.5958	0.5434
1.6586	1.5985	0.5434
1.6793	1.5995	0.5434
1.6825	1.6004	0.5434
1.677	1.5942	0.5434
1.6962	1.6003	0.5434
1.6784	1.5938	0.5434
1.6768	1.5969	0.5434
1.704	1.6007	0.5434
1.6851	1.5938	0.5434
1.6777	1.595	0.5434
1.7037	1.5943	0.5434
1.6988	1.5972	0.5434
1.6901	1.5942	0.5434
1.6502	1.5984	0.5434
1.6753	1.6024	0.5434
1.6885	1.6017	0.5434
1.6856	1.5963	0.5434
1.6803	1.5973	0.5434
1.6668	1.5968	0.5434
1.69	1.5958	0.5434
1.6697	1.6013	0.5434
1.6885	1.6012	0.5434
1.6457	1.6006	0.5434
1.7083	1.5955	0.5434
1.6592	1.5977	0.5429
1.6777	1.6031	0.5429
1.6697	1.5985	0.5429
1.6719	1.5989	0.5429
1.7116	1.5958	0.5429
1.692	1.5932	0.5429
1.6693	1.5966	0.5429
1.7107	1.5984	0.5429
1.7091	1.5991	0.5429
1.6587	1.5988	0.5429
1.6512	1.5984	0.5429
1.6821	1.5982	0.5429
1.659	1.6	0.5429
1.6694	1.5959	0.5429
1.6722	1.5933	0.5429
1.6625	1.5962	0.5429
1.6767	1.5973	0.5427
1.7063	1.6036	0.5427
1.653	1.5986	0.5427
1.6778	1.6015	0.5427
1.7092	1.6031	0.5427
1.6603	1.6032	0.5427
1.6736	1.6002	0.5427
1.6986	1.6011	0.5427
1.6943	1.5935	0.5427
1.7238	1.6005	0.5427
1.6797	1.598	0.5427
1.6823	1.5976	0.5427
1.6777	1.5988	0.5427
1.7049	1.5956	0.5427
1.6548	1.5998	0.5427
1.6801	1.5961	0.5427
1.6842	1.596	0.5427
1.712	1.5983	0.5427
1.6609	1.5985	0.5427
1.6975	1.5977	0.5427
1.6988	1.5899	0.5427
1.6746	1.6013	0.5427
1.6537	1.5966	0.5427
1.6735	1.598	0.5427
1.6924	1.5925	0.5427
1.7028	1.596	0.5427
1.6844	1.5982	0.5421
