# REJUVENATION FRACTION IN LINEAGE
# original file "wt_unlimCap_highRe_3gen_perturbed.txt" 
# mother	daughter	nCells	rej>0	rej>0.2	rej>0.5	rej>1
5.0	21.0	14.0	0.0	0.0	0.0	0.0
5.0	22.0	8.0	0.0	0.0	0.0	0.0
5.0	23.0	4.0	0.0	0.0	0.0	0.0
5.0	24.0	1.0	NaN	NaN	NaN	NaN
6.0	1.0	179.0	0.5698324022346368	0.16759776536312848	0.0111731843575419	0.0
6.0	2.0	179.0	0.44692737430167595	0.12849162011173185	0.00558659217877095	0.0
6.0	3.0	179.0	0.4860335195530726	0.1564245810055866	0.0111731843575419	0.0
6.0	4.0	179.0	0.441340782122905	0.13966480446927373	0.0111731843575419	0.0
6.0	5.0	179.0	0.40782122905027934	0.11173184357541899	0.0	0.0
6.0	6.0	179.0	0.4022346368715084	0.0670391061452514	0.0111731843575419	0.0
6.0	7.0	179.0	0.4301675977653631	0.11173184357541899	0.0	0.0
6.0	8.0	179.0	0.3743016759776536	0.12290502793296089	0.0	0.0
6.0	9.0	179.0	0.3854748603351955	0.09497206703910614	0.00558659217877095	0.0
6.0	10.0	179.0	0.40782122905027934	0.10614525139664804	0.00558659217877095	0.0
6.0	11.0	179.0	0.3463687150837989	0.061452513966480445	0.0	0.0
6.0	12.0	179.0	0.3407821229050279	0.0670391061452514	0.0111731843575419	0.0
6.0	13.0	179.0	0.35195530726256985	0.055865921787709494	0.00558659217877095	0.0
6.0	14.0	177.0	0.2655367231638418	0.04519774011299435	0.0	0.0
6.0	15.0	169.0	0.2485207100591716	0.047337278106508875	0.0	0.0
6.0	16.0	147.0	0.21768707482993196	0.013605442176870748	0.0	0.0
6.0	17.0	115.0	0.1391304347826087	0.034782608695652174	0.0	0.0
6.0	18.0	70.0	0.07142857142857142	0.0	0.0	0.0
6.0	19.0	44.0	0.09090909090909091	0.0	0.0	0.0
6.0	20.0	20.0	0.0	0.0	0.0	0.0
6.0	21.0	9.0	0.0	0.0	0.0	0.0
6.0	22.0	3.0	0.0	0.0	0.0	0.0
6.0	23.0	2.0	0.0	0.0	0.0	0.0
7.0	1.0	179.0	0.5139664804469274	0.1452513966480447	0.0111731843575419	0.0
