# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_noRe_3gen.txt" 
# initSize	totGrowth	rejuvenation
0.76197138	3.2817	1.1075
0.7726923	3.1639	1.1075
0.7522715	3.2688	1.1075
0.74282688	3.3105	1.1075
0.80536558	3.1289	1.1075
0.7803500999999999	3.2201	1.1075
0.7305744	3.366	1.1075
0.7732028200000001	3.3323	1.1075
0.74486896	3.4035	1.1075
0.74818734	3.2809	1.1008
0.73006388	3.3649	1.1008
0.79770778	3.3287	1.1008
0.74512422	3.2719	1.1008
0.7637582	3.2367	1.1008
0.7420610999999999	3.3068	1.1008
0.79107102	3.2368	1.1008
0.7880079	3.1533	1.1008
0.76452398	3.2545	1.1008
0.81506546	3.0538	1.1008
0.771416	3.3569	1.1008
0.83497574	3.0342	1.1008
0.83318892	2.9901	1.1008
0.73644538	3.4415	1.0968
0.74920838	3.3577	1.0968
0.73644538	3.3275	1.0968
0.8091944799999999	3.2051	1.0968
0.73925324	3.4474	1.0968
0.7502294199999999	3.3486	1.0968
0.8010261599999999	3.2998	1.0968
0.8199154	3.2071	1.0968
0.74793208	3.357	1.0939
0.7119404199999999	3.4782	1.0939
0.76580028	3.2151	1.0939
0.7877526399999999	3.3546	1.0939
0.7752449	3.211	1.0939
0.7601845599999999	3.2845	1.0939
0.7943894	3.1028	1.0939
0.75431358	3.2665	1.0939
0.77677646	3.1406	1.0939
0.7926025800000001	3.1235	1.0939
0.7624819	3.342	1.0939
0.75507936	3.2672	1.0911
0.73593486	3.4021	1.0911
0.7688634	3.342	1.0911
0.7308296599999999	3.5548	1.0911
0.73644538	3.3777	1.0911
0.7576319599999999	3.2232	1.0911
0.7864763399999999	3.3961	1.0911
0.7563556599999999	3.2717	1.0904
0.7665660599999999	3.2476	1.0904
0.79107102	3.11	1.0904
0.733127	3.5157	1.0904
0.7880079	3.1536	1.0904
0.80383402	3.1559	1.0904
0.80485506	3.1242	1.0904
0.8262969	3.1785	1.0904
0.8097049999999999	3.0266	1.0904
0.75558988	3.3879	1.0904
0.7589082599999999	3.302	1.0904
0.78111588	3.3034	1.0329
0.76426872	3.3235	1.0329
0.75405832	3.5105	1.0324
0.72189556	3.4281	1.0324
0.83957042	2.9689	1.0324
0.7573767	3.3798	1.0324
0.7640134599999999	3.4744	1.0324
0.7854553	3.1215	1.0324
0.74155058	3.4604	1.0324
0.82195748	3.1753	1.0324
0.7867316	3.2973	1.0324
0.8084286999999999	3.0622	1.0317
0.7382321999999999	3.3515	1.0317
0.78877368	3.1709	1.0317
0.76733184	3.4471	1.0317
0.78239218	3.2066	1.0317
0.82910476	3.0589	1.0317
0.78979472	3.172	1.0315
0.73593486	3.3763	1.0315
0.7931131	3.1657	1.0315
0.77550016	3.409	1.0284
0.7420610999999999	3.4625	1.0284
0.81940488	2.9952	1.0284
0.80281298	3.2789	1.0284
0.7762659399999999	3.205	1.0222
0.76733184	3.2868	1.0222
0.72878758	3.6792	1.0222
0.7515057199999999	3.3304	1.0222
0.7688634	3.2313	1.0222
0.7502294199999999	3.3379	1.0222
0.84952556	2.9353	1.0222
0.74410318	3.4251	1.0185
0.74537948	3.3303	1.0185
0.771416	3.4668	1.0185
0.7726923	3.1797	1.0185
0.74818734	3.5074	1.0185
0.7456347400000001	3.3609	1.0185
0.7931131	3.119	1.0185
0.7663108000000001	3.1994	1.0158
0.7905605	3.2225	1.0158
0.73108492	3.3502	1.0158
0.80740766	3.2292	1.0158
0.76069508	3.3025	1.0158
0.7732028200000001	3.3743	1.0158
0.7663108000000001	3.3711	1.0158
0.7624819	3.3474	1.0158
0.72904284	3.4319	1.0158
0.7675871	3.2283	1.0158
0.7563556599999999	3.3529	1.0158
0.7663108000000001	3.297	1.0158
0.80153668	3.0425	1.0131
0.83038106	2.941	1.0131
0.73772168	3.305	1.0131
0.7175561399999999	3.6185	1.0131
0.77932906	3.1359	1.0131
0.72215082	3.5178	1.0131
0.72700076	3.4846	1.0131
0.7254692	3.568	1.0131
0.76733184	3.2032	1.0131
0.79668674	3.1583	1.0131
0.7568661799999999	3.4048	1.0131
0.81251286	3.0165	1.0131
0.7318507	3.4857	1.0131
0.77881854	3.3161	1.0131
0.81378916	3.0438	1.0131
0.784179	3.2812	1.0131
0.78877368	3.1935	1.0125
0.78877368	3.2341	1.0125
0.7201087399999999	3.6912	1.0125
0.75456884	3.4266	1.0125
0.72444816	3.5337	1.0125
0.7538030600000001	3.5412	1.0125
0.77983958	3.2119	1.0125
0.79234732	3.2016	1.0125
0.75533462	3.3876	1.0125
0.79362362	3.0964	1.0125
0.7612056	3.4254	0.9534
0.79132628	3.1385	0.9534
0.73670064	3.6484	0.9534
0.7114299	3.7839	0.9534
0.78060536	3.1777	0.9534
0.7471663	3.3738	0.9534
0.80613136	3.0432	0.9534
0.77881854	3.1873	0.9534
0.84773874	2.99	0.953
0.71806666	3.5617	0.953
0.74052954	3.46	0.953
0.7527820199999999	3.3001	0.953
0.76324768	3.2921	0.953
0.7752449	3.2137	0.953
0.74410318	3.3823	0.953
0.77805276	3.1848	0.953
0.75431358	3.2317	0.953
0.79004998	3.2023	0.953
0.75456884	3.2468	0.953
0.7956657	3.1905	0.953
0.79004998	3.1166	0.953
0.83829412	2.9991	0.953
