# DAUGHTER VS RLS BY REJUVENATION
# original file "wt_decCap_highRe_3gen_perturbed.txt" 
# genT	cycleGrowth	rejuvenation
1.6684	1.6099	0.3371
1.6926	1.6129	0.3371
1.6938	1.6106	0.3371
1.6738	1.6055	0.3371
1.6681	1.6095	0.3371
1.6759	1.6038	0.3371
1.6492	1.6051	0.3371
1.6571	1.6082	0.3371
1.6933	1.6099	0.3371
1.7028	1.6135	0.3371
1.7279	1.612	0.3371
1.7343	1.6089	0.3371
1.6674	1.6088	0.3371
1.6452	1.6093	0.3371
1.6746	1.6086	0.3371
1.7081	1.6057	0.3371
1.7192	1.6095	0.3371
1.6671	1.6115	0.3371
1.7081	1.6102	0.3371
1.6918	1.6094	0.3371
1.6337	1.6057	0.3371
1.6532	1.6165	0.3371
1.6644	1.6097	0.3371
1.6444	1.6172	0.3371
1.6805	1.6104	0.3371
1.656	1.6081	0.3371
1.659	1.6037	0.3371
1.6529	1.6112	0.3371
1.6611	1.6056	0.3371
1.6748	1.6083	0.3371
1.6343	1.6108	0.3371
1.6824	1.6134	0.3371
1.6663	1.6059	0.3371
1.6556	1.6031	0.3371
1.6359	1.6079	0.3371
1.6899	1.6132	0.3371
1.6606	1.609	0.3371
1.6465	1.6091	0.3371
1.6578	1.608	0.3371
1.6356	1.6102	0.3371
1.6584	1.606	0.3371
1.6627	1.6123	0.3371
1.6619	1.6048	0.3371
1.6281	1.6102	0.3371
1.6355	1.606	0.3371
1.6291	1.6105	0.3371
1.6381	1.6161	0.3371
1.6619	1.6167	0.3371
1.6894	1.6117	0.3371
1.6597	1.6086	0.3371
1.7038	1.6049	0.3371
1.6282	1.6156	0.3371
1.6284	1.6144	0.3371
1.7109	1.6222	0.3371
1.7049	1.6051	0.3371
1.6968	1.609	0.3371
1.6388	1.6121	0.3371
1.676	1.6083	0.3371
1.6901	1.6095	0.3371
1.6789	1.6041	0.3371
1.6545	1.6121	0.3371
1.6973	1.6121	0.3371
1.6371	1.6083	0.3371
1.6566	1.6103	0.3371
1.6557	1.6134	0.3371
1.6746	1.6093	0.3371
1.6643	1.6149	0.3371
1.6569	1.6028	0.3371
1.6376	1.6148	0.3371
1.6475	1.6106	0.3371
1.6782	1.6105	0.3371
1.647	1.6119	0.3371
1.6737	1.6123	0.3371
1.6639	1.6134	0.337
1.6524	1.6129	0.337
1.6722	1.6107	0.337
1.6941	1.6108	0.337
1.6907	1.6136	0.337
1.7154	1.6092	0.337
1.7115	1.606	0.337
1.7153	1.6123	0.337
1.6609	1.6143	0.337
1.6984	1.6164	0.337
