# DAUGHTER VS D BY REJUVENATION
# original file "wt_unlimCap_highRe_3gen.txt" 
# daughter	initD	rejuvenation
8.0	0.1351	0.8633
11.0	0.1485	0.8633
17.0	0.2099	0.8633
5.0	0.1183	0.8633
5.0	0.1066	0.8633
11.0	0.1455	0.8633
13.0	0.1686	0.8633
17.0	0.1735	0.8633
6.0	0.1239	0.8633
4.0	0.0927	0.8633
20.0	0.1999	0.8633
16.0	0.1926	0.8633
5.0	0.1099	0.8627
13.0	0.1542	0.8627
5.0	0.1077	0.8627
16.0	0.1591	0.8627
3.0	0.0924	0.8627
23.0	0.1782	0.8624
6.0	0.1198	0.8624
10.0	0.1404	0.8624
6.0	0.115	0.8624
12.0	0.1529	0.8624
6.0	0.119	0.8624
20.0	0.1794	0.8624
13.0	0.1559	0.8624
4.0	0.1081	0.8622
13.0	0.1647	0.8622
16.0	0.1596	0.8622
21.0	0.1892	0.8622
1.0	0.0713	0.8622
3.0	0.0822	0.8622
3.0	0.0849	0.8622
10.0	0.1395	0.8622
2.0	0.0772	0.8622
4.0	0.1048	0.8622
13.0	0.1614	0.8622
14.0	0.1785	0.8621
10.0	0.1431	0.8621
7.0	0.1303	0.8621
13.0	0.1524	0.8621
15.0	0.1927	0.8621
3.0	0.0978	0.8621
9.0	0.1397	0.8621
9.0	0.1362	0.8621
9.0	0.1356	0.8619
14.0	0.1666	0.8619
1.0	0.0762	0.8619
15.0	0.1731	0.8619
2.0	0.0789	0.8619
6.0	0.1269	0.8618
9.0	0.1357	0.8618
15.0	0.1744	0.8618
2.0	0.089	0.8618
5.0	0.117	0.8618
8.0	0.1345	0.8614
1.0	0.0648	0.8614
2.0	0.089	0.8614
19.0	0.1725	0.8614
17.0	0.1719	0.8614
6.0	0.1246	0.8614
9.0	0.1419	0.8614
1.0	0.0758	0.8614
6.0	0.1112	0.8614
16.0	0.1741	0.8591
6.0	0.1224	0.8591
12.0	0.1565	0.8591
6.0	0.1196	0.8591
2.0	0.0837	0.8591
6.0	0.1177	0.8591
8.0	0.1293	0.8591
10.0	0.1433	0.8591
16.0	0.1678	0.8591
3.0	0.102	0.8591
12.0	0.1536	0.8591
